"case_no","patents"
"2018-1336","7386588|6401113|6438585|7266365|7209949|7509376|7685244|6463464|8060564|6219694|8050661|7606936|6701378|6779019|7209955|7953802|7689721|6389457|6463463|6941349"
"1:13-cv-00687","6825780"
"2018-1124","9178983|8306514|8311524|9002331|8311522"
"2:15-cv-02583","D978995"
"2016-2723","9125079"
"1:14-cv-00748","5930444"
"1:21-cv-02882","7264189"
"1:12-cv-01531","7830573|8264757|7961367"
"6:19-cv-00608","6241720|6287298|5446749"
"2:14-cv-00202","8146077|6384850|6871325"
"2013-1613","7103380"
"1:19-cv-01480","8424752"
"2:15-cv-00558","D358992"
"1:16-cv-01208","5434562|6212635"
"2:13-cv-00879","8971914|9380414"
"2:13-cv-00627","5470208"
"21-1502","8156151"
"1:17-cv-01191","9393208"
"2:14-cv-00962","7585860|7157456|7592339"
"4:18-cv-00477","D859788"
"1:12-cv-02049","6947748|7454212"
"2:10-cv-02065","7305707"
"2020-1963","8661361|9423954|9423938|8781299|8983264|9423923"
"3:22-cv-05962","9531872"
"2:14-cv-06354","6857074|7895313|7934148|7895306|7836141"
"8:15-cv-02080","6529908"
"2:11-cv-10124","8264598"
"1:23-cv-01467","D554925|D487224"
"2:22-cv-02996","6330549"
"1:12-cv-01402","11019372"
"2:11-cv-06486","6743030"
"3:15-cv-01317","6738155|6611349"
"2015-1095","9781164|9756079|9106683|9747444|8789202|8631488|9843595|8365272"
"2:15-cv-00987","5754946|5809428|5786748"
"6:12-cv-00266","11058667"
"1:14-cv-00697","D542897"
"1:18-cv-00575","6947748"
"2022-1160",""
"16-496","8949954|RE38564|7016676|6836654|8582662|6349154|8194632|6329934|6483874|6473114|6452515|6519005|9141489|8665952|8326075|6005980|6952450|8407609"
"1:17-cv-01027","8295802"
"1:13-cv-00650","5642379|5506866"
"5:19-cv-02038",""
"2:12-cv-01696","6241739"
"6:21-cv-00816",""
"8:12-cv-00884","6733150"
"2:12-cv-00068","6556905|6975222"
"3:20-cv-08248","9296769|8754065"
"3:16-cv-00186","D779828"
"3:10-cv-00545","10375215|10075564|10075565"
"5:10-cv-00702","7613651|7533056|7587357"
"1:13-cv-01335","8566885|7043433|7683903|9185380|6598228|7299888|8068108|7100188|8345050|7299184|9785400"
"1:21-cv-00640","6812500"
"2:15-cv-00590","8650591"
"1:13-cv-00451","5682526"
"2:12-cv-00130","8996003|8412197|8416892|8885587|8644239|8369278|8724613|8885583|8812848|8483166|8639246"
"6:22-cv-00428","7808483"
"5:13-cv-02022","7747529"
"1:19-cv-00657","7079241|7277169|9274057|4923819"
"2:16-cv-00129","5388198"
"3:15-cv-00836","7307398"
"1:14-cv-00175","D339426|D339215"
"2:15-cv-00256","5745569"
"1:12-cv-00572","6327636|6317804|7917680|5915103|5905873|6052754"
"8:14-cv-00797","4424997"
"2:18-cv-03399","8454493"
"1:12-cv-00445","10636522"
"2:12-cv-04270","6903448|7454634|7957777|8171309"
"2:18-cv-00029","6324685|8694683|8856779|9270790"
"1:22-cv-01490","6917304"
"2:11-cv-14990","8572138"
"1:22-cv-00613","7944469|6839731|8239481"
"2:23-cv-05588","8039244"
"2:15-cv-01945","7233247"
"3:20-cv-08492","5591454"
"6:22-cv-00574","5935590"
"1:19-cv-00147","8977284|9642024|9510320|9549388"
"3:14-cv-00099",""
"3:10-cv-00281","6163269|5878368|6360167"
"3:10-cv-00351",""
"7:21-cv-11141","7346472|8214175|7660700|7949494"
"5:11-cv-00210","4993440|4898193|4871536|4887622"
"2:17-cv-08849","5874471|6028107"
"1:16-cv-02250","4690405|RE33372"
"2:15-cv-01301","10021052|10013158"
"2:13-cv-00400","9291009|9057224"
"2022-1699","6587261"
"2:17-cv-02679","7212811|7292844|7058395"
"1:20-cv-00742","5684514"
"6:15-cv-00542","4664026|4665891|4773319|5203317|5404801|6209533|4886045|4700618|4090490|3802413|6606986|5632265|6189528|8381712|4878477|D660646|D662773|5765543|5490494"
"1:10-cv-00198","6385594|6611816"
"4:17-cv-00846","8290035|8649429"
"3:20-cv-07629","7211600|6573293|7125905"
"2:19-cv-00287","6656093"
"1:16-cv-09383","6782313"
"6:21-cv-00839","6087380"
"2:18-cv-00121","8973529"
"4:18-cv-00222","8895078|10879632|10870632"
"3:22-cv-06151","D926617"
"2:13-cv-04730","RE48794"
"1:23-cv-01500","D600867|7011043|6715521"
"2:21-cv-00126","6381088|RE40413"
"1:21-cv-01641","6650327|5717881|8144158|6816145"
"2:20-cv-12470","9024581"
"1:17-cv-00083","20170128001"
"1:12-cv-01733","4813056"
"2:10-cv-05737","10203345|8828665"
"2011-1577","7780794|8206514|7985302"
"1:14-cv-03894","5513126"
"8:20-cv-01028","5633256|8124761|5602076|5847138"
"2:21-cv-08156","6932401"
"1:13-cv-01018","8712846|8396743"
"5:22-cv-00113","11021867"
"2012-1668","5930474"
"3:20-cv-12849","7589958"
"1:22-cv-01559","6405181|7143063|6718313|6567791"
"2:16-cv-00636","7937443|7707591"
"2:12-cv-00036","6462654|6535123|6147601"
"2019-1812","7891044|7937798"
"6:10-cv-00146","7430471"
"1:23-cv-00904","RE39500|5737547|7653806|7353367|5794061|7213131|7216217|7660972|7509366|6643765|5742840|7730287|6725356|5812799|7260708|7660973|6006318"
"4:19-cv-00534","9539218"
"1:17-cv-01500","7015490"
"3:12-cv-00345","8324189|8052987"
"2:13-cv-02021","7890809"
"6:20-cv-00001","9240008"
"2012-1593","6065046"
"2:20-cv-11055","3570122|3224293|6420470|10697070|3232610|3221718"
"2:10-cv-00566","6430332|7095917"
"1:14-cv-00253","6972790|8537242"
"9:12-cv-80319","10143890|10133850"
"1:16-cv-04496","6860785"
"1:14-cv-00518","5714504|7745466|6926907|7411070|6875872|6369085"
"1:17-cv-05005","7837355|8070319"
"1:23-cv-15902","8998898|6872183|9247989|9095348"
"1:10-cv-00044","7477919"
"3:12-cv-00863","8249804|7948502"
"3:10-cv-00553","8688990|8375212"
"1:14-cv-01899","8417112|6252502"
"1:11-cv-00039","6412221"
"6:12-cv-00169","8914526|9961097"
"6:13-cv-00149","5689642"
"1:15-cv-00350","3356636|7781420"
"2021-2123","8614710"
"2011-1200","6460140"
"2020-2253",""
"6:21-cv-00300","6453127|6197466"
"1:22-cv-00838","7173651"
"4:22-cv-00225","6108713|6172990"
"2:18-cv-13635","4434561"
"23-1635","D616485"
"1:20-cv-11739","9300723"
"2:11-cv-00360","5373149|5206854|5251328|6236717|5828657|5719922|5812537|6970501|5444704|7894472"
"2:16-cv-02817","6910890"
"6:23-cv-00114","7547451|8496965|8337886|6551620"
"14-1513","9292852"
"1:12-cv-01467","RE49267"
"1:15-cv-09398","9077877"
"2:15-cv-07121","6519005"
"8:23-cv-02787","10322777|9199695|8578873|9260161"
"2:18-cv-00073","10135952"
"1:22-cv-00583","9440785|9403626|9446801|9511929|9296518"
"2019-2201","5669818|5684722"
"2:16-cv-01384","5881142"
"1:18-cv-00396","7729863"
"1:15-cv-08276","8572138"
"3:15-cv-01057","RE43462"
"1:19-cv-01804","7794432"
"9:18-cv-00034","6805779|6853142|7147759|6806652|7811421|7808184|8125155|7604716"
"6:19-cv-00755","5751345|5751346"
"2:17-cv-00558","7852995|7860225"
"6:15-cv-00604","6892113"
"2:15-cv-01973","8724622"
"1:22-cv-00214","D474936"
"2:17-cv-00598","9880342|10627562|8290318|10439089"
"4:11-cv-04223","8146647"
"2:14-cv-01771","6442602"
"1:18-cv-00969","5462242"
"1:11-cv-01983","7310120"
"2:12-cv-00248","5608449"
"1:19-cv-00350","9261365"
"2:19-cv-10092",""
"2:15-cv-01981","5855634|6938299|7165290"
"6:20-cv-00778","10695367|10682376"
"23-1639","3995498|4196254"
"6:17-cv-00247","8514499|8310767|10564397|10209487|9784948|9696519"
"4:13-cv-00134","5006528"
"2:12-cv-00063","6330549"
"1:21-cv-00939","6612079"
"2:11-cv-12548",""
"1:21-cv-03605","7917285"
"2:13-cv-01081","6435775"
"4:21-cv-07420","8437797"
"2:17-cv-00639","7772209"
"2:14-cv-00121","7899479"
"3:16-cv-00698","6018720|6856966"
"2017-1380","6581341|6877292|7493739|7877958|8230661"
"3:12-cv-01599","5351296"
"1:19-cv-00344","5206244"
"3:22-cv-00323","7771973|7541444|10480025"
"1:13-cv-00514","8206740|7211267|8709478|7232572|7749532|8470364|8603506|8394406|9241946|8394405"
"6:20-cv-00743","7789800|6701271"
"1:13-cv-01023","5874471|6028107"
"2:16-cv-00544","6758755|6306035|8454432"
"2013-1017","6797289|8753697"
"2:14-cv-00397","6330549"
"5:20-cv-00890","8208542|7769238|7372452|8139878"
"2:19-cv-00040","8606503"
"5:15-cv-00128","D263644|4338734"
"2:16-cv-00640","5761602"
"1:19-cv-01046","5789395|7211267|7232572|5919775"
"2:11-cv-12918","RE43675|7916648|7286828"
"1:12-cv-23980","RE39880|5791322|5368006|5890480"
"2011-1474","6363390|6289350"
"2:11-cv-03677","7058596|7050995|5666493|5963641|6076080"
"6:21-cv-01164","6177932"
"2:15-cv-01836","5847774|6490250|6359654"
"2018-2023","10458989|10962546|10302648|10955417|10641775|10094838|10365285|10288620"
"2:22-cv-01510","8857710|5892900|5532464|9117230|5715314|5691524|7661585|5826241|6115690|5783808|8600855|5903830|9715691|5920847|7529698|10504122|5010485|5878337|6047270|6128602|5237159|9117206|4774664"
"2:17-cv-00259","6631449|6925481|7032089|6918014|7065637|7254621|7596784|5825891|5495607|6963908|6738799"
"2:10-cv-03175","6858650"
"1:23-mc-01467","6306035|8454432"
"2:14-cv-00695","10721066|9832017|10237067"
"1:11-cv-06491","6826298"
"6:14-cv-00419","6952645|7400970|6904359"
"4:11-cv-00158","7757175|10489286|8650493|8495585|8984491|8327271|8392890"
"3:13-cv-00934","10027505|10454707"
"2:15-cv-08763","8044942"
"1:13-cv-01005","6839731|8239481"
"2:15-cv-01367","5625776|7606739"
"6:21-cv-01222","5603054"
"1:16-cv-10919","7220472|7943222"
"6:11-cv-00476","8221047"
"2:12-cv-00604","9926464|9464207"
"3:18-cv-03592","6403649|7388029|7351404"
"6:16-cv-06621","7704984|5980940"
"3:11-cv-02699","5602116|6903083"
"2:17-cv-00693","6465477"
"2:10-cv-02066","5078639"
"1:13-cv-02581","4551671|4593389|4413250|5133005|5231375|4654640|5148144|3983338|4173714|4823600|5216704|4484028|5301246|3696378|5034723|4410982|5406260|3863036"
"6:14-cv-00084","6488390|9119266|6095661"
"6:10-cv-00028","6508678"
"4:19-cv-00488","7030781|6952645|7400970|6714859|6904359|6486801"
"337-TA-764","4942778"
"2:10-cv-01610","6468360"
"2:11-cv-07295","9031537"
"1:21-cv-00336","6239124|6455518|7297703|5665772|7741338"
"2:15-cv-13917","10096000|6662194|7490086|9760864"
"1:11-cv-00448","10268608|9824035|10489314|6070217|8020022|6446184"
"2:16-cv-01325","9539218"
"2019-1443","5940510|6105013|5949880|6237095"
"3:18-cv-13696","5205066"
"337-TA-825","9172629"
"6:21-cv-01156","9141612|7552118|6963866|7836067"
"1:17-cv-00055","7836806|D492951|6915727"
"1:18-cv-00459","6775356"
"2:13-cv-00585","7006844|7860462|7293291|7565699"
"2:13-cv-01206",""
"16-2743","8346894"
"1:21-cv-00602","10624902"
"2:13-cv-00764","7420975|8032646|7164692"
"2:13-cv-05805","RE43908"
"1:15-cv-07507","5371734"
"2012-1497","6928292|8098695|8059177|7072673|7952645|9420212|7577417"
"2:15-cv-00141","6272533"
"1:12-cv-03520","8424119|8453270|D657093"
"2:13-cv-03438","6703228"
"3:16-cv-02544","9406172|9345280|9661886"
"1:16-cv-00873","5920303|5748177"
"19-8708","8812437"
"2:15-cv-00070","8752975|8746918"
"1:11-cv-00441","7417402"
"1:10-cv-04321","9258698"
"6:15-cv-06596","9266587"
"3:21-cv-30029","6442485"
"1:14-cv-00204","RE43462"
"1:14-cv-05648","7337650"
"1:12-cv-00833","9486426"
"1:12-cv-01664","6024976|5656286"
"2:20-cv-00274","7617437"
"1:20-cv-05055","7086747"
"2:12-cv-05707","D644716|D459433|D656392|D459432"
"6:11-cv-00576","5957926|5885296|6102916|5944722|6077269"
"2:16-cv-00668","6975132"
"2:13-cv-01896","7706819|8620364|8055285"
"2:19-cv-05662","6359879"
"1:19-cv-00667","6358161|7163472|7887439|9320944|8123632|8257201|8444507|6994638|8025593|7641572|7331878"
"8:10-cv-00704","RE40041"
"1:23-cv-00816","6918801"
"1:12-cv-00939","6128290"
"1:13-cv-01933","7827581|9344183"
"9:10-cv-81410","8208542|7769238|7372452|8139878"
"4:20-cv-00434","5796037|5285009"
"1:13-cv-00278","9541270|9500352"
"1:13-cv-01490","5376252"
"1:20-cv-01221","7171461|7043543|7414329|7162521|7702771|7368830|7099934|7777365|7977815|7774443|7268998|7312980"
"2:16-cv-00647","6775356"
"1:11-cv-01038","10796375|10032227|11227340"
"0:11-mc-60082","7849619"
"1:13-cv-00570","9241999|8303995|8926038|9180140|8962038|8435570|8178572|8957101|8455531|9119823|8298589"
"3:10-cv-00113","6886750|8910876"
"1:19-cv-01551","4481870"
"6:20-cv-00682","8906367"
"2:14-cv-00967",""
"2015-1782","11195224|8682729|10157414"
"1:13-cv-00437","8155887"
"6:13-cv-00841","9197228"
"1:13-cv-00440","D641135|D641539"
"1:15-cv-02860","9168863|9776558"
"1:12-cv-00454","6917304"
"2019-2165","8780130"
"3:20-cv-14857","7464040|7490048"
"3:17-cv-00114","7650376"
"4:14-cv-01937","9886421"
"2:13-cv-00920","8862508"
"3:13-cv-00697","9001985"
"1:23-cv-00191","7299510"
"4:23-cv-00437","7038695|8643659|8117479|10162642"
"2:22-cv-05485","5642379|5506866"
"1:17-cv-00495",""
"3:12-cv-01066","9261365"
"1:22-cv-00199","8402109"
"2:22-cv-00297",""
"2021-1496","7246394"
"6:11-cv-06156","6660272|7122192|6368601"
"2:10-cv-08905","5745574|6715084|6826694|7634666|6314409"
"3:13-cv-02146","6118894|5657394"
"1:14-cv-00170","8209205"
"1:18-cv-21411","8076431|7122609"
"16-712","6744858"
"1:15-cv-00578","8346894"
"1:17-cv-00948","5677560"
"3:19-cv-06043","6606287|6473532|7715476"
"2:14-cv-00910","5560360"
"6:15-cv-01124","6687343"
"1:15-cv-01077","5826245"
"2:11-cv-06602","6436807|7231626"
"22-2021","8381309"
"1:17-cv-01239","8935429"
"2017-2341","6819681|6961777"
"1:12-cv-01536","6639574"
"2:12-cv-00322","7013138|7916747|6374311|5940771|7535921|7873343|6665536|6714559|5844893|6697415|7548553|7710907|7536167|5740366|5546397|7457646|7386002"
"5:17-cv-00055","8194632"
"23-2367","6297721|6662431|6297720|6344785|5656985|6320489"
"2:11-cv-12303","8495167"
"2:18-cv-00222","5733208"
"6:21-cv-00908","11443329|11468453|11631115"
"1:18-cv-06911",""
"2018-1932","7755223|6741052|8587404"
"1:16-cv-00272","8229787"
"2:11-cv-00020","10425817|11515893|11317342|10306669"
"8:13-cv-01871","7336260|10627907|11175738|8749507|10665067|9430042|9116546"
"2:15-cv-01553","9586659|9359044"
"8:20-cv-02123","9369575|9173154|8861512|9591551"
"1:13-cv-00225","8495359"
"1:23-cv-00930","7647012"
"6:11-cv-00532","6651134|6534805|7158429|7142477|5903174"
"1:23-cv-01800","7787402|8400954|8971300|7768952"
"2:15-cv-00880","9721450"
"6:19-cv-00680","8833374"
"1:18-cv-01026","8560442|8571984|8290860|8498933|8355985|8401962|8150766|7536350|8719157|8359267|8290859|8290861|8712911"
"22-1681","6128617|5953724"
"2:10-cv-01964","8589599|8582570|7756129|8588196|8588231|8675590|8683092|8732347|8582571"
"4:18-cv-05713","8789977|7242028|9217542|9030120|8752983"
"2:13-cv-04534","5772560"
"3:15-cv-08662","8474197|9010044|9689159|9546479|9702140|9695588|10072415"
"1:14-cv-01006","8630795"
"0:14-cv-03027","8462761|8315640|8615020|6381211|8462723|8457145|5282222|RE37802|8537757|8311040"
"3:17-cv-00880",""
"6:18-cv-00330","9503486"
"8:15-cv-01561","6317333|7064005|5666046|6232231|6849946"
"8:12-cv-00329","8473532"
"2:17-cv-07302","8578413"
"1:12-cv-00154","6984235|8070786"
"1:13-cv-01201","6012890"
"2:15-cv-02028","8341679"
"2:18-cv-00106","7664988"
"1:19-cv-02332","10011404|10011403"
"4:16-cv-00344","8534002"
"1:21-cv-00464","5845000"
"1:10-cv-01502","6614349|8493442|6697103"
"2:22-cv-00269","8120473|8284037|7355509|8497769|7714705"
"2:17-cv-05923","6378952"
"2:17-cv-00597","10890925"
"19-1064","7490248|6963980|7325129|6321201|8402281"
"6:10-cv-01374","7364017"
"1:10-cv-00087","5920853"
"0:17-cv-05014","6976937"
"1:13-cv-03224","6195863"
"22-1547","9637420|9732008|9650306|10301231|10173935|10221108"
"6:23-cv-00565","7683804|8044823"
"2:16-cv-00627","7030781|6952645|7400970|6714859|6904359|6486801"
"1:12-cv-06098","8925431"
"2:15-cv-00687","7204158"
"1:23-cv-01412","7502797"
"5:13-cv-00573","6318560"
"1:17-cv-00924","7090515"
"0:17-cv-05096","6648050|8720525|8887788|9328554|6283192|9359814"
"3:12-cv-01658","9393110|10053256|10292817|9119716|6878168"
"2014-1799","D749995"
"1:20-cv-00202","8857710|7529698|10504122|8600855|9117230|9117206|9715691|7661585"
"3:17-cv-05582","8381309"
"2018-1799","6481468"
"1:23-cv-23427","D764823"
"2:15-cv-01939","5592555|5608873|5771394|5502689|5530597"
"1:14-cv-01569","7822777|7685156"
"3:23-cv-02746","7820419"
"3:20-cv-08840","7233256"
"1:10-cv-02478","5625410|RE43462"
"2:16-cv-00214","8793330"
"4:11-cv-03869","6612985"
"1:13-cv-00110","8112359"
"1:17-cv-01183","8880862"
"2:22-cv-00080","8626118"
"6:22-cv-01132","7101576"
"6:23-cv-00596","9153311|7149867|6434687|7225324|7620800"
"2:20-cv-00063","5206854|5828657|5812537|6970501|5251328|7894472"
"1:11-cv-05013","7827581|9344183"
"2:13-cv-00285","9054860"
"3:15-cv-00802","7818214|8027883"
"6:20-cv-00471","5572576"
"2:17-cv-00067","5854936"
"3:13-cv-00712","8825475|8401843|8990073|7693710|9852741"
"3:12-cv-00530","7390509|6814983"
"2014-1582","7723635"
"2:12-cv-00227","10811159"
"1:14-cv-00445","7350078|7725725|8429415"
"1:10-cv-01615","D465852|D428488"
"1:12-cv-02977",""
"1:18-cv-03786","9564952"
"1:20-cv-22050","6632449"
"6:12-cv-00280","7789800|6701271"
"2:12-cv-11013","9456449"
"6:13-cv-00839","7532200"
"4:11-cv-00265","7144296"
"2:14-cv-09583","8617160"
"2019-1684","5535320"
"2013-1533","7668966|7222190"
"2:15-cv-01419","7454430"
"5:12-cv-01869","6233682"
"2:22-cv-08565","6053845|6261207"
"2017-2474","7537502"
"2:17-cv-01770","6031545|7916138|7301536|6037936|5682332"
"2:13-cv-00947","7713947|8377903|10849919"
"1:22-cv-01512","8312930"
"2:23-cv-00610","6684220|7065778|6807568"
"6:15-cv-00097","6595863"
"3:16-cv-01836","6990629"
"2:21-cv-01055","5530101|7504485|6914128|5780597|5910486"
"2:13-cv-00046","6990058"
"2:13-cv-00334","5682526|5715451"
"1:21-cv-00189","4930160"
"1:12-cv-00257","9454762"
"2:18-cv-08548","8740116"
"5:19-cv-00510","9256911|8702045|8201781|8403274"
"1:11-cv-04380","8856221"
"3:11-cv-03847","9083801|8781102|8594285|9191510"
"2017-1479",""
"2:17-cv-00483","8117644|6845448"
"8:12-cv-02014","6266674"
"1:22-cv-07185","5917897|5606602|7486662|7724879|6757275"
"2017-1389","7739401|7260846|6954790"
"22-1790","6612985"
"2:23-cv-00536","11090323"
"2:17-cv-00484","8825475|8401843|8990073|7693710|9852741"
"2:15-cv-00445","10609073|10277628"
"1:10-cv-09617","7708292"
"6:17-cv-00122","10728490|7212668|8640042|8028246|10425612|9848158|7092573|7032182|7533129"
"1:13-cv-01485","5828402"
"2:11-cv-00029","2927512"
"3:13-cv-00468","9299053|9412367"
"3:14-cv-01259",""
"6:21-cv-00236","6623206"
"3:23-cv-02862","6452609|7610394|7173177|6526411|6721489|6502194"
"2:19-cv-05335","10083329|7548153|8427279|7772977|7518532|8237565"
"3:23-cv-03955","6641477|6585516"
"1:14-cv-01153","9582595|9794321"
"2:15-cv-01296","8424752|8651369|8936190"
"1:03-cv-01401","7398999"
"8:18-cv-03858","5546397|7916747|6374311|5940771|7535921|7873343|6665536|7710907|6697415|7548553|5844893|6714559|7536167|5740366|7013138|7457646|7386002"
"1:12-cv-00352","9214033"
"2015-2021","8033458"
"2:10-cv-00113","7495566"
"2:12-cv-00483","6972790|8537242|6473527"
"2:21-cv-00483","8099420|6928442|7802310"
"1:18-cv-00731","7324833|7634228|8532641|7187947"
"1:12-cv-00242","D748387|D718025"
"2017-2437","6810019|7941174|7218923|6819923|8055820"
"2:15-cv-02000","D513363|D534772|D533752|D529278|D535859|7219814"
"2:21-cv-00445","7443170"
"5:16-cv-00145","7206762"
"1:23-cv-13821",""
"6:19-cv-00713","6047223"
"2:13-cv-01299","8312887"
"1:19-cv-01582","6510466|7069293|6324578"
"2016-2143","6266674"
"1:13-cv-00410","6684248|8447967"
"2:19-cv-00150","8531833"
"6:17-cv-00682","5482539"
"1:17-cv-04299","7907933|7555110|6771970|7397910"
"2:15-cv-02087","9242749|9533779|9527612|9051066|9315282"
"2015-1769","8399469|10980803|11400087|8338427|11344547|11154553|10525057|8722679|8030313|7807680"
"4:13-cv-01895","6473527|RE44087|6972790|6337708|8031223"
"1:11-cv-02100","5845070"
"3:12-cv-00033","6419963"
"1:22-cv-06599","7627708|7478191|7523243"
"6:13-cv-00127","7777074|8178572"
"2:10-cv-00159","6526402"
"1:22-cv-01112","6237781"
"5:18-cv-00164","7152726"
"3:23-cv-00847","8055004"
"3:22-cv-21258","6839417"
"2:22-cv-07646","10397639|10473282|10547895"
"2:14-cv-00099","7606843|8239347"
"1:19-cv-10285","6507814|6256606|6385573|6044069|7266493|6539205|7120578"
"1:14-cv-13247","7162735"
"337-TA-1123",""
"2:10-at-00767","6748194"
"1:20-cv-00325","8099614|7685439"
"24-1192",""
"2:13-cv-01274","6321667|5884711|5497716"
"2:13-cv-00141","6624843"
"2:22-cv-00914","6118230|6160359|5945993"
"2:12-cv-02527","9125739|8900294"
"1:16-cv-01800","7545740|10652111|8830821"
"4:20-cv-00266","7212829"
"1:23-cv-00307","6266674"
"2019-1775","7039679|6151606|6085192|6023708|6708221"
"1:22-cv-01795","D465585|6209276"
"2019-1378","D887708|11178947|D866964"
"2018-1364","6427078|5553125|5915239"
"2:22-cv-00157","5490216"
"1:15-cv-00589","9147299|9459285"
"2019-1023","8590940|7950698"
"2:11-cv-05717","5490216"
"1:14-cv-00446","9352190"
"337-TA-1364","5412730"
"2:14-cv-02254","10117812|8900554|9211259|7700076|8435498|8722021|9265725"
"1:11-cv-00346","7101574"
"1:11-cv-00812","8966347|8615700"
"1:11-cv-00019","7185232"
"3:13-cv-04483","11349291|10177551"
"2020-1297","7367044"
"5:18-cv-00502","10159337|10299582|9039016|7594668|D762339|8215650|8109527"
"1:21-cv-01050",""
"3:13-cv-02930","8902179"
"6:17-cv-01069","D495726|D563779|D508063|D613437"
"1:18-cv-01175","5796183"
"2:17-cv-00034","6549970|6247090|7475181|7475180|6639588|6304236|6057812|7089342|6686895|6513088"
"2:20-cv-01878","10694142|10674109|10038930|10200648|9467728|9161068"
"1:20-cv-00489","10465888|10323832"
"3:12-cv-01765","8975605|9700642"
"1:17-cv-11083","8250483"
"2:23-cv-01016","8812227|10179595|10778363|10737709|9043131"
"2017-1652","6153005"
"2011-1297","5404505"
"6:20-cv-01089","9432452"
"2016-2512","7110744"
"6:21-cv-00279","7513856"
"2:13-cv-00264","8028344|D750846|D794256|9717294|D788378|D750847|9072328|7908667|7849517"
"2015-1554","7246162|7249170"
"0:14-cv-03402","8285648"
"2:16-cv-01257","8164025|8168921|9895773|8212178|10099316"
"2:16-cv-01919","6404732|7477633|6982663|8041394|6119091|7583582|5920552|5670730|5546420|5452006|6707867|6452958|5870087|6044073|5568167|5862182"
